city,prop_id,facility_type,floor_area,site_eui
San Francisco,212,Office,218396,35
San Francisco,213,Office,22038,77.7
San Francisco,214,Multifamily Housing,487630,40.2
San Francisco,215,Multifamily Housing,918968,19.8
San Francisco,216,Office,306883,52.4
San Francisco,217,Multifamily Housing,85032,73.7
San Francisco,218,Office,316468,54.6
San Francisco,219,Multifamily Housing,100310,26.6
San Francisco,220,Multifamily Housing,206860,45.9
San Francisco,221,Office,124359,54.2
San Francisco,222,Office,13418,16.1
San Francisco,223,Office,46962,83.9
San Francisco,224,Office,265380,37.3
San Francisco,225,Office,25170,10.2
San Francisco,226,Multifamily Housing,63501,55.1
San Francisco,227,Multifamily Housing,54048,13.9
San Francisco,228,Office,14700,9.4
San Francisco,229,Multifamily Housing,146554,62.4
San Francisco,230,Office,33863,47.4
San Francisco,231,Multifamily Housing,229124,51
San Francisco,232,Office,130100,45.9
San Francisco,233,Office,79809,27
San Francisco,234,Office,10588,65.7
San Francisco,235,Multifamily Housing,118344,22.1
San Francisco,236,Office,1031149,48.3
San Francisco,237,Office,10467,27.1
San Francisco,238,Multifamily Housing,486750,27.7
San Francisco,239,Office,10056,40.5
San Francisco,240,Multifamily Housing,90876,43.4
San Francisco,241,Office,18050,17.4
San Francisco,242,Multifamily Housing,365860,26.8
San Francisco,243,Office,54702,3.5
San Francisco,244,Multifamily Housing,460753,43.8
San Francisco,245,Office,61129,86.2
San Francisco,246,Multifamily Housing,20630,26.4
San Francisco,247,Multifamily Housing,91583,37.9
San Francisco,248,Office,29928,39.5
San Francisco,249,Multifamily Housing,99126,75.9
San Francisco,250,Office,140076,41.6
San Francisco,251,Office,28500,64.2
San Francisco,252,Office,104311,44.4
San Francisco,253,Multifamily Housing,50000,24.6
San Francisco,254,Multifamily Housing,63922,34
San Francisco,255,Office,28584,43
San Francisco,256,Office,753305,43.4
San Francisco,257,Office,32604,35.8
San Francisco,258,Office,39993,9.9
San Francisco,259,Office,146134,39.8
San Francisco,260,Office,947955,31.3
San Francisco,261,Office,375233,48.2
San Francisco,262,Office,505340,55.5
San Francisco,263,Office,22800,36.9
San Francisco,264,Multifamily Housing,744020,32
San Francisco,265,Multifamily Housing,165346,52.4
San Francisco,266,Office,14170,50.9
San Francisco,267,Office,44050,69.4
San Francisco,268,Office,17810,22.3
San Francisco,269,Office,10500,71.9
San Francisco,270,Multifamily Housing,69143,28.8
San Francisco,271,Multifamily Housing,117071,37.7
San Francisco,272,Office,11455,14.3
San Francisco,273,Multifamily Housing,89162,20
San Francisco,274,Office,36838,72.5
San Francisco,275,Office,1978104,80
San Francisco,276,Office,49011,15.5
San Francisco,277,Office,11169,110.2
San Francisco,278,Office,466031,39.9
San Francisco,279,Office,34875,55.1
San Francisco,280,Multifamily Housing,59901,32
San Francisco,281,Office,35649,49.1
San Francisco,282,Multifamily Housing,177530,27.2
San Francisco,283,Office,12900,33.9
San Francisco,284,Multifamily Housing,68044,69.9
San Francisco,285,Office,48720,19.2
San Francisco,286,Office,34500,30.1
San Francisco,287,Multifamily Housing,66280,13.9
San Francisco,288,Multifamily Housing,156000,29.1
San Francisco,289,Office,37747,79.6
San Francisco,290,Multifamily Housing,221468,93.7
San Francisco,291,Office,83296,49
San Francisco,292,Multifamily Housing,65750,34.7
San Francisco,293,Office,99625,58.4
San Francisco,294,Office,97142,24.6
San Francisco,295,Multifamily Housing,38000,27.4
San Francisco,296,Office,12465,32.1
San Francisco,297,Office,203456,53.2
San Francisco,298,Office,17795,50.6
San Francisco,299,Multifamily Housing,51723,59.5
San Francisco,300,Office,102612,36.8
San Francisco,301,Multifamily Housing,105646,22.9
San Francisco,302,Multifamily Housing,175046,69.7
San Francisco,303,Multifamily Housing,166257,39.3
San Francisco,304,Multifamily Housing,159975,57.7
San Francisco,305,Office,236109,45.4
San Francisco,306,Office,647908,23.2
San Francisco,307,Office,294031,48
San Francisco,308,Office,120334,34
San Francisco,309,Office,30000,17
San Francisco,310,Multifamily Housing,84998,38.8
San Francisco,311,Multifamily Housing,189459,38.6
San Francisco,312,Multifamily Housing,72607,56.5
San Francisco,313,Multifamily Housing,81380,73.7
San Francisco,314,Multifamily Housing,105578,17.8
San Francisco,315,Office,409410,72
San Francisco,316,Office,314826,26.6
San Francisco,317,Office,54700,72.9
San Francisco,318,Office,24800,61.6
San Francisco,319,Office,42235,39.3
San Francisco,320,Multifamily Housing,231316,54.2
San Francisco,321,Office,106052,112.2
San Francisco,322,Multifamily Housing,86317,36.2
San Francisco,323,K-12 School,71874,21.8
San Francisco,324,Office,159807,34
San Francisco,325,Office,31978,24.4
San Francisco,326,Office,221426,53.8
San Francisco,327,Office,68400,79.9
San Francisco,328,Office,59463,39.9
San Francisco,329,Office,151785,34.7
San Francisco,330,Office,115609,41.6
San Francisco,331,Office,319126,40.4
San Francisco,332,Office,16771,185.3
San Francisco,333,Office,94000,98.2
San Francisco,334,Multifamily Housing,88895,20.7
San Francisco,335,Office,332000,58.2
San Francisco,336,Office,334982,48.8
San Francisco,337,Office,30044,109.1
San Francisco,338,Office,90045,42.3
San Francisco,339,Office,606738,44
San Francisco,340,Multifamily Housing,152636,24.7
San Francisco,341,Multifamily Housing,243288,60
San Francisco,342,Office,52617,85.7
San Francisco,343,Multifamily Housing,160936,29.5
San Francisco,344,Office,26808,27.1
San Francisco,345,K-12 School,211425,35.4
San Francisco,346,Office,408667,40.1
San Francisco,347,Multifamily Housing,71984,11.7
San Francisco,348,Office,54000,15.3
San Francisco,349,Office,23690,40.8
San Francisco,350,Office,305260,63
San Francisco,351,Multifamily Housing,106450,87.6
San Francisco,352,Multifamily Housing,67245,39.8
San Francisco,353,Multifamily Housing,88752,42.3
San Francisco,354,Office,14447,21.4
San Francisco,355,Multifamily Housing,154688,33
San Francisco,356,Office,67807,62.4
San Francisco,357,Office,94000,31.1
San Francisco,358,Multifamily Housing,130000,62
San Francisco,359,Office,24812,26.8
San Francisco,360,Multifamily Housing,133012,30.5
San Francisco,361,Multifamily Housing,50000,47.7
San Francisco,362,Multifamily Housing,224400,47.6
San Francisco,363,Multifamily Housing,47974,63.6
San Francisco,364,Office,91858,66.2
San Francisco,365,Multifamily Housing,123167,42.7
San Francisco,366,Office,60000,112.4
San Francisco,367,Office,24000,41.5
San Francisco,368,Office,172415,131.8
San Francisco,369,Office,1146260,77.7
San Francisco,370,Multifamily Housing,87135,41.2
San Francisco,371,Multifamily Housing,176874,44
San Francisco,372,Office,26419,37.1
San Francisco,373,Office,93567,29
San Francisco,374,Multifamily Housing,87870,26
San Francisco,375,Multifamily Housing,193515,52.1
San Francisco,376,Office,208193,30.6
San Francisco,377,Multifamily Housing,109584,19.6
San Francisco,378,Office,13081,63.3
San Francisco,379,Office,17080,17
San Francisco,380,Office,1895166,59.2
San Francisco,381,Office,36934,25.5
San Francisco,382,Office,33000,24.1
San Francisco,383,Office,12100,15.3
San Francisco,384,Office,155817,50.8
San Francisco,385,Office,61872,23.8
San Francisco,386,Multifamily Housing,243191,39
San Francisco,387,Office,190943,71.6
