city,prop_id,facility_type,floor_area,site_eui
Los Angeles,340,Multifamily Housing,20567,42.7
Los Angeles,341,Multifamily Housing,89436,43.6
Los Angeles,342,Multifamily Housing,22000,17.1
Los Angeles,343,Multifamily Housing,33150,14.3
Los Angeles,344,Multifamily Housing,21743,35
Los Angeles,345,Multifamily Housing,47912,68.1
Los Angeles,346,Multifamily Housing,21096,53.1
Los Angeles,347,Multifamily Housing,27232,60.8
Los Angeles,348,Multifamily Housing,107612,33.8
Los Angeles,349,Multifamily Housing,21691,32
Los Angeles,350,Multifamily Housing,442413,53
Los Angeles,351,Office,1699782,72.4
Los Angeles,352,Office,97280,52.3
Los Angeles,353,Multifamily Housing,22962,41.6
Los Angeles,354,Multifamily Housing,30632,25.4
Los Angeles,355,Office,32293,26.9
Los Angeles,356,Office,36780,21.2
Los Angeles,357,Office,1546011,47.1
Los Angeles,358,Multifamily Housing,10950,187
Los Angeles,359,Multifamily Housing,40320,62.6
Los Angeles,360,Multifamily Housing,80640,11
Los Angeles,361,Multifamily Housing,62379,31.4
Los Angeles,362,Office,131305,68
Los Angeles,363,Multifamily Housing,24337,41.9
Los Angeles,364,Multifamily Housing,38612,35.8
Los Angeles,365,Multifamily Housing,48009,44.7
Los Angeles,366,Multifamily Housing,66705,12.7
Los Angeles,367,Office,447252,50.8
Los Angeles,368,Multifamily Housing,118388,42.9
Los Angeles,369,Multifamily Housing,49243,58.8
Los Angeles,370,Multifamily Housing,82687,39.2
Los Angeles,371,Office,28500,87.4
Los Angeles,372,Multifamily Housing,32248,28
Los Angeles,373,Office,904927,36
Los Angeles,374,Multifamily Housing,26703,35.6
Los Angeles,375,Multifamily Housing,20128,48.4
Los Angeles,376,Multifamily Housing,192306,44.4
Los Angeles,377,Multifamily Housing,28000,4
Los Angeles,378,Office,1327532,48.5
Los Angeles,379,Multifamily Housing,24428,47.9
Los Angeles,380,Multifamily Housing,28670,34.8
Los Angeles,381,Multifamily Housing,25000,41.3
Los Angeles,382,Multifamily Housing,33077,44.6
Los Angeles,383,Office,68392,55.6
Los Angeles,384,Multifamily Housing,20249,45.8
Los Angeles,385,Multifamily Housing,64090,37.3
Los Angeles,386,Office,237534,89.9
Los Angeles,387,Multifamily Housing,27800,38.6
Los Angeles,388,Office,56500,26.2
Los Angeles,389,Multifamily Housing,21492,34.1
Los Angeles,390,Multifamily Housing,28852,66.6
Los Angeles,391,Multifamily Housing,45525,36.8
Los Angeles,392,Office,92401,21.1
Los Angeles,393,Multifamily Housing,43597,37.7
Los Angeles,394,Multifamily Housing,20428,13.5
Los Angeles,395,Multifamily Housing,130783,57.2
Los Angeles,396,Multifamily Housing,40002,28.5
Los Angeles,397,Office,193805,37
Los Angeles,398,Multifamily Housing,26695,12.3
Los Angeles,399,Multifamily Housing,78000,64.2
Los Angeles,400,Multifamily Housing,57064,30.1
Los Angeles,401,Multifamily Housing,65648,26.7
Los Angeles,402,Office,207401,49.9
Los Angeles,403,Office,132431,32.8
Los Angeles,404,Multifamily Housing,18660,39.1
Los Angeles,405,Multifamily Housing,21010,51.2
Los Angeles,406,Multifamily Housing,22254,30.9
Los Angeles,407,Office,250000,19.6
Los Angeles,408,Multifamily Housing,66866,42.2
Los Angeles,409,Multifamily Housing,166958,26.1
Los Angeles,410,Multifamily Housing,51000,10.8
Los Angeles,411,Multifamily Housing,24507,58.7
Los Angeles,412,Multifamily Housing,28572,39.4
Los Angeles,413,Multifamily Housing,38184,35.4
Los Angeles,414,Multifamily Housing,25604,50
Los Angeles,415,Office,250000,19.6
Los Angeles,416,Multifamily Housing,82383,41.1
Los Angeles,417,Multifamily Housing,72175,38.6
Los Angeles,418,Office,134490,33.4
Los Angeles,419,Multifamily Housing,71755,43.6
Los Angeles,420,Office,227833,96.9
Los Angeles,421,Multifamily Housing,268819,40.5
Los Angeles,422,Multifamily Housing,48318,34.2
Los Angeles,423,Multifamily Housing,42672,34.7
Los Angeles,424,Multifamily Housing,40056,38.4
Los Angeles,425,Multifamily Housing,23994,51.7
Los Angeles,426,Multifamily Housing,27032,25
Los Angeles,427,Office,150832,57.8
Los Angeles,428,Multifamily Housing,48240,28
Los Angeles,429,Multifamily Housing,57103,35.6
Los Angeles,430,Multifamily Housing,22748,39.8
Los Angeles,431,Multifamily Housing,26840,52.1
Los Angeles,432,Multifamily Housing,23872,28.5
Los Angeles,433,Multifamily Housing,42891,50.9
Los Angeles,434,Multifamily Housing,79246,39.9
Los Angeles,435,Multifamily Housing,26496,48.1
Los Angeles,436,Multifamily Housing,35744,58.7
Los Angeles,437,Multifamily Housing,75792,35.1
Los Angeles,438,Office,40732,26.1
Los Angeles,439,Multifamily Housing,88576,47.2
Los Angeles,440,Multifamily Housing,23232,54.7
Los Angeles,441,Office,73815,65.4
Los Angeles,442,Multifamily Housing,64873,34.1
Los Angeles,443,Office,401983,36.9
Los Angeles,444,Multifamily Housing,68345,36.9
Los Angeles,445,Multifamily Housing,113623,54
Los Angeles,446,Multifamily Housing,34456,49.7
Los Angeles,447,Multifamily Housing,17256,51.2
Los Angeles,448,Multifamily Housing,28988,44.5
Los Angeles,449,Multifamily Housing,28117,63.1
Los Angeles,450,Multifamily Housing,34429,21.3
Los Angeles,451,Multifamily Housing,21963,147.6
Los Angeles,452,Multifamily Housing,28528,50.6
Los Angeles,453,Multifamily Housing,48779,29.6
Los Angeles,454,Office,112113,25.3
Los Angeles,455,Multifamily Housing,77364,42.7
Los Angeles,456,Multifamily Housing,21336,2.9
Los Angeles,457,Multifamily Housing,27000,558.5
Los Angeles,458,Multifamily Housing,25782,31.5
Los Angeles,459,Multifamily Housing,26763,41.8
Los Angeles,460,Multifamily Housing,74133,40.7
Los Angeles,461,Office,34004,26.5
Los Angeles,462,Multifamily Housing,23520,42.2
Los Angeles,463,Multifamily Housing,178188,22.7
Los Angeles,464,Multifamily Housing,382200,27.4
